City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Portmore,JM,17.9702,-76.8672,84.16,78,20,14.97,few clouds
1,Hermanus,ZA,-34.4187,19.2345,50.43,81,0,6.49,clear sky
2,Vaini,TO,-21.2,-175.2,73.56,83,75,12.66,broken clouds
3,Channel-Port Aux Basques,CA,47.5702,-59.1367,56.37,76,2,13.15,clear sky
4,Bengkulu,ID,-3.8004,102.2655,84.4,68,84,7.07,light rain
5,Christchurch,NZ,-43.5333,172.6333,51.91,66,70,1.14,broken clouds
6,Mar Del Plata,AR,-38.0023,-57.5575,40.08,100,0,3.44,clear sky
7,Rikitea,PF,-23.1203,-134.9692,75.29,71,4,9.64,clear sky
8,Houma,US,29.5958,-90.7195,80.6,91,0,0.0,clear sky
9,Shirokiy,RU,49.758,129.523,83.14,68,68,7.16,broken clouds
10,Punta Arenas,CL,-53.15,-70.9167,24.91,93,0,5.75,clear sky
11,Deputatskiy,RU,69.3,139.9,70.84,38,54,23.8,broken clouds
12,Taltal,CL,-25.4,-70.4833,59.36,63,32,4.16,scattered clouds
13,Winchester,GB,51.0651,-1.3187,52.43,96,1,3.44,clear sky
14,Oistins,BB,13.0667,-59.5333,80.69,78,40,18.41,scattered clouds
15,Saint-Pierre,RE,-21.3393,55.4781,68.92,67,0,6.91,clear sky
16,Belyy Yar,RU,53.6039,91.3903,78.69,38,0,11.18,clear sky
17,Arkhangelsk,RU,64.5401,40.5433,71.71,78,20,0.0,light rain
18,Kibaya,TZ,-5.3,36.5667,54.48,81,6,3.58,clear sky
19,Poum,NC,-20.2333,164.0167,77.36,84,80,24.38,broken clouds
20,Mount Gambier,AU,-37.8333,140.7667,59.5,53,23,7.54,few clouds
21,Esperance,AU,-33.8667,121.9,66.22,33,0,19.82,clear sky
22,Chukhloma,RU,58.7525,42.6825,67.77,54,62,3.94,broken clouds
23,Vila Velha,BR,-20.3297,-40.2925,69.75,96,75,2.3,broken clouds
24,Hilo,US,19.7297,-155.09,78.53,74,0,0.0,clear sky
25,Cidreira,BR,-30.1811,-50.2056,64.27,90,12,3.83,few clouds
26,Aragarcas,BR,-15.8975,-52.2508,61.03,45,1,2.04,clear sky
27,Carnarvon,AU,-24.8667,113.6333,70.97,25,26,6.13,scattered clouds
28,Provost,CA,52.3501,-110.2683,59.45,83,88,5.39,overcast clouds
29,Port Hardy,CA,50.6996,-127.4199,53.78,100,75,2.3,broken clouds
30,Hobart,AU,-42.8794,147.3294,58.05,68,20,8.05,few clouds
31,Pirogovo,RU,56.7796,53.1495,59.65,64,100,6.44,overcast clouds
32,Saint-Philippe,RE,-21.3585,55.7679,68.22,78,51,13.56,broken clouds
33,San Patricio,US,28.017,-97.5169,84.88,78,3,14.34,clear sky
34,Ushuaia,AR,-54.8,-68.3,31.66,80,0,11.5,clear sky
35,Port Alfred,ZA,-33.5906,26.891,56.17,94,81,2.98,broken clouds
36,Lorengau,PG,-2.0226,147.2712,84.99,68,56,5.79,broken clouds
37,Chicama,PE,-7.8447,-79.1469,59.54,87,28,5.5,scattered clouds
38,Khatanga,RU,71.9667,102.5,53.92,45,100,0.76,overcast clouds
39,Geraldton,AU,-28.7667,114.6,70.21,35,100,11.5,overcast clouds
40,Ponta Do Sol,PT,32.6667,-17.1,68.0,71,45,5.73,scattered clouds
41,Temple,US,31.0982,-97.3428,88.75,57,0,12.66,clear sky
42,Inverell,AU,-29.7833,151.1167,55.67,95,100,2.89,overcast clouds
43,Imeni Zhelyabova,RU,58.9544,36.5956,69.89,74,74,4.14,broken clouds
44,Cherepovets,RU,59.1333,37.9,71.42,83,20,4.47,few clouds
45,Assiniboia,CA,49.6334,-105.9845,57.02,94,84,16.11,broken clouds
46,Upernavik,GL,72.7868,-56.1549,37.22,91,1,11.39,clear sky
47,Qaanaaq,GL,77.484,-69.3632,40.57,67,9,3.18,clear sky
48,Jamestown,US,42.097,-79.2353,71.24,73,0,5.75,clear sky
49,Aklavik,CA,68.2191,-135.0107,67.05,75,62,11.41,moderate rain
50,Haverfordwest,GB,51.8017,-4.9691,57.54,91,26,8.5,scattered clouds
51,New Norfolk,AU,-42.7826,147.0587,57.7,79,55,0.31,broken clouds
52,Iqaluit,CA,63.7506,-68.5145,47.93,70,100,5.75,light rain
53,Lebu,CL,-37.6167,-73.65,50.04,90,100,21.21,light rain
54,Albany,US,42.6001,-73.9662,64.81,75,91,2.64,overcast clouds
55,Iquique,CL,-20.2208,-70.1431,59.04,79,100,0.78,overcast clouds
56,Kailua,US,21.4022,-157.7394,82.38,74,20,14.97,few clouds
57,Nezhinka,RU,51.7676,55.3694,55.2,87,75,15.99,light intensity shower rain
58,Isla Vista,US,34.4133,-119.861,68.61,75,0,5.01,clear sky
59,Lompoc,US,34.6391,-120.4579,63.01,87,100,18.01,overcast clouds
60,Severo-Kurilsk,RU,50.6789,156.125,55.56,72,79,13.69,broken clouds
61,Sambava,MG,-14.2667,50.1667,70.63,84,84,16.8,moderate rain
62,Mataura,NZ,-46.1927,168.8643,52.48,68,45,10.51,scattered clouds
63,Kununurra,AU,-15.7667,128.7333,71.58,24,9,14.97,clear sky
64,Margate,GB,51.3813,1.3862,59.31,68,42,3.0,scattered clouds
65,Aguie,NE,13.506,7.7786,81.28,54,90,10.33,overcast clouds
66,Warrnambool,AU,-38.3833,142.4833,58.8,62,32,13.53,scattered clouds
67,Busselton,AU,-33.65,115.3333,59.97,60,92,11.74,overcast clouds
68,Sitka,US,57.0531,-135.33,64.29,72,0,9.22,clear sky
69,Puerto Ayora,EC,-0.7393,-90.3518,71.55,89,63,7.0,broken clouds
70,Srednekolymsk,RU,67.45,153.6833,79.3,36,100,10.94,overcast clouds
71,Upata,VE,8.0086,-62.3989,74.19,98,18,3.04,few clouds
72,Chuy,UY,-33.6971,-53.4616,53.98,98,77,6.33,broken clouds
73,Castro,BR,-24.7911,-50.0119,54.54,74,100,3.15,overcast clouds
74,Sekoma,BW,-24.4,23.8833,52.39,51,0,9.75,clear sky
75,Dapdap,PH,12.062,125.4881,84.97,67,87,7.47,overcast clouds
76,Jojoima,SL,7.8792,-10.7878,69.64,98,100,0.13,overcast clouds
77,Kruisfontein,ZA,-34.0033,24.7314,50.83,67,46,4.09,scattered clouds
78,Ahipara,NZ,-35.1667,173.1667,59.88,96,100,13.76,light rain
79,Bluff,NZ,-46.6,168.3333,52.81,80,81,35.3,broken clouds
80,Caravelas,BR,-17.7125,-39.2481,68.68,90,0,3.06,clear sky
81,Porto Novo,BJ,6.4965,2.6036,76.82,92,100,6.44,light rain
82,Buala,SB,-8.145,159.5921,84.43,71,91,10.09,overcast clouds
83,Kargasok,RU,59.0556,80.8572,69.39,56,98,12.17,overcast clouds
84,Havre-Saint-Pierre,CA,50.2334,-63.5986,52.16,71,0,9.22,clear sky
85,Banda Aceh,ID,5.5577,95.3222,86.85,61,100,6.08,light rain
86,Yanam,IN,16.7333,82.2167,79.99,85,100,7.14,moderate rain
87,Manjakandriana,MG,-18.9167,47.8,55.09,97,100,7.67,overcast clouds
88,San Quintin,MX,30.4833,-115.95,63.64,82,24,12.41,few clouds
89,Bethel,US,41.3712,-73.414,70.63,76,0,0.0,clear sky
90,Magadan,RU,59.5667,150.8,56.97,72,54,10.11,broken clouds
91,Narsaq,GL,60.9167,-46.05,46.62,91,93,4.21,overcast clouds
92,Marsh Harbour,BS,26.5412,-77.0636,81.37,76,5,11.34,clear sky
93,Saskylakh,RU,71.9167,114.0833,57.27,41,74,4.23,broken clouds
94,Tanout,NE,14.9709,8.8879,82.22,47,65,11.99,broken clouds
95,Anadyr,RU,64.75,177.4833,46.9,93,75,11.18,broken clouds
96,Kangaatsiaq,GL,68.3065,-53.4641,39.76,93,99,21.61,overcast clouds
97,Tiksi,RU,71.6872,128.8694,40.46,84,100,23.64,overcast clouds
98,Paysandu,UY,-32.3214,-58.0756,47.61,98,14,7.54,few clouds
99,Mersing,MY,2.4312,103.8405,87.71,74,40,4.61,scattered clouds
100,Atuona,PF,-9.8,-139.0333,77.79,76,7,24.58,clear sky
101,Livadiya,RU,42.8692,132.6764,71.49,77,71,11.99,broken clouds
102,Mbandaka,CD,0.0487,18.2603,69.93,88,69,3.27,broken clouds
103,Cape Town,ZA,-33.9258,18.4232,55.9,80,0,8.99,clear sky
104,Dicabisagan,PH,17.0818,122.4157,85.73,71,89,6.67,overcast clouds
105,Quatre Cocos,MU,-20.2078,57.7625,73.09,73,95,16.96,light rain
106,Georgetown,MY,5.4112,100.3354,87.73,75,20,3.44,few clouds
107,Paamiut,GL,61.994,-49.6678,41.29,93,100,7.47,overcast clouds
108,Arraial Do Cabo,BR,-22.9661,-42.0278,69.78,92,0,22.5,clear sky
109,Tuktoyaktuk,CA,69.4541,-133.0374,54.05,72,45,7.67,scattered clouds
110,Avarua,CK,-21.2078,-159.775,73.45,83,75,2.3,broken clouds
111,Freeport,US,40.6576,-73.5832,76.37,63,0,10.36,clear sky
112,Vila Franca Do Campo,PT,37.7167,-25.4333,67.19,81,93,4.99,overcast clouds
113,Meulaboh,ID,4.1363,96.1285,79.41,74,100,3.83,overcast clouds
114,Marsa Matruh,EG,31.3525,27.2453,70.0,83,0,3.44,clear sky
115,Litovko,RU,49.2361,135.1742,79.52,72,87,4.47,overcast clouds
116,Ucluelet,CA,48.9329,-125.5528,56.08,93,100,2.04,overcast clouds
117,Bafoulabe,ML,13.8065,-10.8321,78.06,85,100,3.58,overcast clouds
118,Lauria,IT,40.0465,15.8358,73.2,69,0,1.28,clear sky
