City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Tabanan,ID,2022-07-04 19:20:51,-8.5413,115.1252,79.2,94,100,4.16
1,Biak,ID,2022-07-04 19:20:52,-0.9131,122.8766,75.76,86,47,7.11
2,Killam,CA,2022-07-04 19:20:52,52.7834,-111.8518,69.75,56,100,9.22
3,Ushuaia,AR,2022-07-04 19:19:58,-54.8,-68.3,37.06,81,75,11.5
4,Albany,US,2022-07-04 19:20:53,42.6001,-73.9662,82.94,28,32,1.99
5,Sorong,ID,2022-07-04 19:20:53,-0.8833,131.25,78.12,91,100,7.31
6,Bengkulu,ID,2022-07-04 19:20:54,-3.8004,102.2655,75.63,91,36,4.65
7,Yellowknife,CA,2022-07-04 19:16:34,62.456,-114.3525,68.56,40,20,10.36
8,Butaritari,KI,2022-07-04 19:20:54,3.0707,172.7902,82.83,74,98,20.04
9,Merauke,ID,2022-07-04 19:20:54,-8.4667,140.3333,77.2,88,92,11.41
10,Saskylakh,RU,2022-07-04 19:20:55,71.9167,114.0833,38.77,82,61,12.55
11,Verkhoyansk,RU,2022-07-04 19:20:55,67.5447,133.385,69.24,62,93,7.02
12,Port Elizabeth,ZA,2022-07-04 19:20:56,-33.918,25.5701,56.1,93,20,0.0
13,Mutata,CO,2022-07-04 19:20:56,7.2441,-76.4356,83.7,79,100,3.06
14,Kapaa,US,2022-07-04 19:20:56,22.0752,-159.319,80.92,77,20,19.57
15,Port Alfred,ZA,2022-07-04 19:20:57,-33.5906,26.891,63.68,86,73,12.82
16,Cidreira,BR,2022-07-04 19:20:57,-30.1811,-50.2056,66.33,89,96,3.78
17,Cape Town,ZA,2022-07-04 19:20:02,-33.9258,18.4232,59.38,74,0,10.0
18,Setermoen,NO,2022-07-04 19:20:58,68.861,18.3486,71.44,74,100,8.01
19,Atuona,PF,2022-07-04 19:20:58,-9.8,-139.0333,76.93,74,23,24.87
20,Russell,US,2022-07-04 19:20:59,32.3502,-85.1999,92.48,55,0,4.61
21,Karoi,ZW,2022-07-04 19:20:59,-16.8099,29.6925,56.32,61,0,3.78
22,Hilo,US,2022-07-04 19:20:28,19.7297,-155.09,82.27,74,75,10.36
23,Mount Gambier,AU,2022-07-04 19:16:10,-37.8333,140.7667,40.91,100,40,5.75
24,Barcelos,PT,2022-07-04 19:21:00,41.5388,-8.6151,76.91,80,24,2.13
25,Tatarsk,RU,2022-07-04 19:21:00,55.219,75.9828,61.38,77,100,12.46
26,Aksu,CN,2022-07-04 19:21:00,41.1231,80.2644,85.33,22,0,6.89
27,Rikitea,PF,2022-07-04 19:19:34,-23.1203,-134.9692,74.59,69,20,4.92
28,Sapa,PH,2022-07-04 19:21:01,5.1544,120.3241,80.64,80,65,1.01
29,Hokitika,NZ,2022-07-04 19:21:01,-42.7167,170.9667,47.23,84,100,3.31
30,Busselton,AU,2022-07-04 19:21:02,-33.65,115.3333,63.34,75,75,22.79
31,Punta Arenas,CL,2022-07-04 19:17:03,-53.15,-70.9167,35.71,87,0,11.5
32,Narsaq,GL,2022-07-04 19:21:03,60.9167,-46.05,55.62,99,100,4.76
33,Vaini,TO,2022-07-04 19:21:03,-21.2,-175.2,69.96,100,20,11.5
34,Traipu,BR,2022-07-04 19:21:04,-9.9706,-37.0033,74.37,89,92,12.97
35,Chumikan,RU,2022-07-04 19:21:04,54.7183,135.315,59.54,78,6,6.58
36,Hermanus,ZA,2022-07-04 19:21:04,-34.4187,19.2345,53.69,75,0,6.51
37,Oranjemund,NA,2022-07-04 19:21:05,-28.55,16.4333,55.22,80,0,3.38
38,Mount Isa,AU,2022-07-04 19:21:05,-20.7333,139.5,49.77,62,0,8.05
39,Chake Chake,TZ,2022-07-04 19:21:06,-5.2459,39.7666,73.74,78,3,11.1
40,San Ignacio,BZ,2022-07-04 19:21:06,17.1561,-89.0714,91.54,55,0,4.61
41,Bethel,US,2022-07-04 19:21:07,41.3712,-73.414,86.02,43,0,4.61
42,Andenes,NO,2022-07-04 19:21:07,69.3143,16.1194,58.93,94,89,16.11
43,Saint-Pierre,RE,2022-07-04 19:21:07,-21.3393,55.4781,66.9,76,0,6.91
44,Nemuro,JP,2022-07-04 19:21:08,43.3236,145.575,55.67,100,100,6.69
45,Opuwo,NA,2022-07-04 19:21:08,-18.0607,13.84,63.05,33,0,1.43
46,Sergeyevka,KZ,2022-07-04 19:21:09,53.88,67.4158,54.81,94,100,16.44
47,San Antero,CO,2022-07-04 19:21:09,9.3741,-75.7589,84.81,75,100,2.08
48,Lavrentiya,RU,2022-07-04 19:22:09,65.5833,-171.0,47.93,90,100,3.83
49,Aquiraz,BR,2022-07-04 19:18:01,-3.9014,-38.3911,84.29,83,70,11.56
50,Walvis Bay,NA,2022-07-04 19:22:11,-22.9575,14.5053,58.08,88,0,4.61
51,Ilhabela,BR,2022-07-04 19:22:11,-23.7781,-45.3581,73.36,65,0,2.26
52,Aklavik,CA,2022-07-04 19:22:11,68.2191,-135.0107,78.8,61,40,2.3
53,General Roca,AR,2022-07-04 19:22:12,-39.0333,-67.5833,54.7,20,2,20.31
54,Mataura,NZ,2022-07-04 19:22:12,-46.1927,168.8643,46.9,75,37,7.11
55,Burgeo,CA,2022-07-04 19:22:13,47.6167,-57.6152,61.23,68,0,26.53
56,Puerto Ayora,EC,2022-07-04 19:22:13,-0.7393,-90.3518,78.76,90,98,7.0
57,Veraval,IN,2022-07-04 19:22:14,20.9,70.3667,82.94,85,100,18.19
58,Yabrud,SY,2022-07-04 19:22:14,33.9674,36.6574,71.67,36,0,2.37
59,Carnarvon,AU,2022-07-04 19:22:14,-24.8667,113.6333,63.03,34,0,8.14
60,Nikolskoye,RU,2022-07-04 19:22:15,59.7035,30.7861,69.69,76,6,3.04
61,Kavieng,PG,2022-07-04 19:22:15,-2.5744,150.7967,81.55,81,100,13.15
62,Faya,SA,2022-07-04 19:22:15,18.3851,42.4509,70.32,47,5,7.09
63,Severo-Kurilsk,RU,2022-07-04 19:22:16,50.6789,156.125,50.9,78,100,13.62
64,Padang,ID,2022-07-04 19:22:16,-0.9492,100.3543,76.46,92,100,3.71
65,Baiyin,CN,2022-07-04 19:22:17,36.5583,104.2081,67.6,48,0,5.53
